mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.527697277069092,2.7046092759104634,0.0567990779876709,0.019781274929582097,relu,10.0,"(500, 500)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.032}",0.571875,0.553125,0.5,0.60625,0.540625,0.554375,0.03505575915595038,1190,0.67421875,0.675,0.5,0.8546875,0.7078125,0.68234375,0.11288951664680828
7.9009425163269045,2.8505364826799626,0.05660314559936523,0.014745356648352867,relu,10.0,"(500, 500)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.064}",0.6125,0.4875,0.525,0.56875,0.575,0.55375,0.04322904116447646,1260,0.71484375,0.67734375,0.60546875,0.68046875,0.653125,0.66625,0.03620282490704282
8.165435981750488,2.7142245939070095,0.04280104637145996,0.010758944815184126,relu,10.0,"(500, 500)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.128}",0.54375,0.515625,0.5,0.56875,0.58125,0.541875,0.030720514318611277,1777,0.80859375,0.659375,0.5,0.78046875,0.690625,0.6878125,0.10887003971191983
1.662966775894165,0.06777038634223988,0.026759815216064454,0.0030448501924524593,relu,10.0,"(250, 250)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 1e-06}",0.528125,0.5,0.503125,0.509375,0.478125,0.50375,0.016105123408406388,2557,0.49921875,0.5078125,0.50546875,0.50234375,0.51484375,0.5059375000000002,0.00531250000000002
2.83362455368042,0.6855739986243125,0.028803539276123048,0.004708652935338106,relu,10.0,"(250, 250)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.001}",0.603125,0.528125,0.6,0.553125,0.55,0.566875,0.029619989027681974,373,0.66875,0.859375,0.89921875,0.90234375,0.9046875,0.846875,0.09060209839940243
2.297765588760376,0.3386480768946694,0.024803686141967773,0.0045762016495704515,relu,10.0,"(250, 250)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.002}",0.590625,0.5375,0.621875,0.571875,0.565625,0.5775,0.02797878660699922,57,0.91171875,0.8984375,0.859375,0.89296875,0.82578125,0.87765625,0.031150623238147254
1.8310688972473144,0.18507079623840328,0.025217294692993164,0.004530550553412302,relu,10.0,"(250, 250)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.004}",0.58125,0.521875,0.56875,0.565625,0.58125,0.56375,0.021883926750014514,530,0.84765625,0.89609375,0.815625,0.87109375,0.83671875,0.8534375000000001,0.027835313677054187
2.4822119235992433,0.6811763439985968,0.022925806045532227,0.00475575947914408,relu,10.0,"(250, 250)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.008}",0.56875,0.51875,0.584375,0.590625,0.5875,0.57,0.026707325774026847,234,0.91953125,0.76484375,0.68828125,0.94375,0.8515625,0.83359375,0.09558746199489242
1.9856796264648438,0.5939391498940999,0.02562718391418457,0.005685567535703997,relu,10.0,"(250, 250)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.016}",0.578125,0.5625,0.584375,0.590625,0.60625,0.584375,0.014388580541526655,14,0.71796875,0.8953125,0.66875,0.65546875,0.715625,0.7306250000000001,0.086004803190723
2.0308879375457765,0.29852570780794246,0.021430206298828126,0.0015818070859309268,relu,10.0,"(250, 250)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.032}",0.559375,0.53125,0.578125,0.571875,0.646875,0.5775,0.03824264635194588,57,0.6484375,0.7921875,0.7546875,0.7828125,0.78125,0.751875,0.053202149862576056
3.2947999000549317,0.9021251240703263,0.03961405754089355,0.014234484113740491,relu,10.0,"(250, 250)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.064}",0.578125,0.559375,0.5875,0.56875,0.615625,0.581875,0.019304306514350632,23,0.7296875,0.73828125,0.740625,0.69375,0.6890625,0.71828125,0.022292883533764758
2.2175049781799316,0.958411815159995,0.039425897598266604,0.010458375370281497,relu,10.0,"(250, 250)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250, 250), 'MLP__learning_rate_init': 0.128}",0.5,0.528125,0.5,0.58125,0.55625,0.533125,0.03184434800714251,1977,0.5,0.69453125,0.5,0.67265625,0.6265625,0.59875,0.08356176374021196
13.16292085647583,4.532734139604976,0.13886423110961915,0.009554399570878867,relu,10.0,"(1000, 1000)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000, 1000), 'MLP__learning_rate_init': 1e-06}",0.4875,0.478125,0.521875,0.515625,0.50625,0.501875,0.016606662819483017,2575,0.50546875,0.50625,0.49453125,0.4953125,0.4984375,0.5,0.004965702681897103
15.363751935958863,2.1179761284771903,0.11949806213378907,0.022581486080524404,relu,10.0,"(1000, 1000)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000, 1000), 'MLP__learning_rate_init': 0.001}",0.5875,0.53125,0.565625,0.4875,0.571875,0.54875,0.035718080155573886,1574,0.8828125,0.88671875,0.83203125,0.7125,0.8890625,0.840625,0.06743957075134004
19.62491307258606,1.8607542611623686,0.1492227077484131,0.030099393800322328,relu,10.0,"(1000, 1000)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000, 1000), 'MLP__learning_rate_init': 0.002}",0.5875,0.55,0.603125,0.56875,0.61875,0.585625,0.024334902917414733,9,0.83671875,0.8515625,0.809375,0.84609375,0.79140625,0.8270312499999999,0.022977783087691474
20.653579807281496,9.295503799065829,0.1323974609375,0.025922282524276623,relu,10.0,"(1000, 1000)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000, 1000), 'MLP__learning_rate_init': 0.004}",0.496875,0.515625,0.59375,0.58125,0.5125,0.54,0.039498813273312415,1824,0.51328125,0.7515625,0.7453125,0.93203125,0.54140625,0.69671875,0.15395613087621746
