iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
270,0.000559379249913,0.104403800873,0.096247522461,0.999630723781,0.782865583456,0.794569067296,0.999232540292,0.539184952978,0.575609756098,217.8957253
280,0.000526934123316,0.104146018055,0.0974207332636,0.999630723781,0.782865583456,0.793388429752,0.999232540292,0.533333333333,0.572127139364,226.4708113
290,0.000318016158614,0.106145283841,0.0972796445552,1.0,0.778434268833,0.792207792208,1.0,0.525316455696,0.564356435644,235.2972146
300,0.00047476986161,0.108062569302,0.0978866487976,0.999630723781,0.772525849335,0.789846517119,0.999233716475,0.51572327044,0.567961165049,243.6486929
310,0.000385068661327,0.108365672107,0.099115160019,0.999630723781,0.77400295421,0.791027154664,0.999233716475,0.520376175549,0.569343065693,251.7187884
320,0.000250947591004,0.107881833877,0.0965506068975,1.0,0.77400295421,0.795749704841,1.0,0.517350157729,0.574938574939,259.9623957
330,0.000411725006337,0.105821708228,0.0961701366464,0.999630723781,0.778434268833,0.795749704841,0.999233716475,0.525316455696,0.572839506173,268.0908876
340,0.000201116645238,0.103880908401,0.095836430314,1.0,0.784342688331,0.795749704841,1.0,0.54375,0.574938574939,277.3212726
350,0.000168141073713,0.102708947185,0.0959254428607,1.0,0.78729689808,0.795749704841,1.0,0.55,0.574938574939,286.1352138
360,0.00015398802415,0.10444907132,0.0966161092885,1.0,0.782865583456,0.795749704841,1.0,0.539184952978,0.570719602978,294.3411963
370,0.000126534027709,0.104813267925,0.0990968796233,1.0,0.781388478582,0.792207792208,1.0,0.5375,0.56862745098,302.4027135
380,0.000102742434307,0.104192464648,0.0983473733976,1.0,0.781388478582,0.793388429752,1.0,0.546012269939,0.570024570025,310.5788786
390,9.39156100244e-05,0.103482510019,0.0983950970359,1.0,0.785819793205,0.793388429752,1.0,0.556574923547,0.567901234568,318.8834705
400,8.30027525259e-05,0.103892512223,0.0971222509364,1.0,0.78729689808,0.794569067296,1.0,0.560975609756,0.569306930693,326.7137637
410,7.48623925133e-05,0.105123227406,0.096368114085,1.0,0.781388478582,0.799291617473,1.0,0.543209876543,0.579207920792,334.7182621
420,0.000250949869572,0.106516530753,0.096038984136,0.999630723781,0.776957163959,0.796930342385,0.999233716475,0.535384615385,0.574257425743,342.561033
430,5.76873347585e-05,0.105320946536,0.095201580118,1.0,0.781388478582,0.799291617473,1.0,0.543209876543,0.577114427861,350.97932
